id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime3059DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime6089DaysPastDueNotWorse,NumberOfDependents
101873,1,0.741337881,45,3,0.589703588,7050.0,11,1,1,0,1.0
101887,1,0.9999998999999999,54,0,43.0,7397.0,0,3,0,0,0.0
101895,1,0.34417927600000003,68,0,1.1134347279999999,4733.0,15,1,2,0,0.0
1019,0,0.83983667,49,0,3308.0,4700.0,8,0,2,0,1.0
101933,1,0.641354589,54,4,0.587639574,3850.0,8,0,1,2,1.0
101987,1,0.75659847,73,0,0.8477577829999999,3500.0,7,0,3,0,2.0
102,0,0.019387778999999997,34,0,0.32591852,4000.0,9,0,1,0,0.0
1020,0,0.004384128,36,0,0.637788225,4466.0,11,0,1,0,1.0
102012,1,0.912175649,59,0,13.0,8300.0,1,0,0,0,4.0
102063,1,0.9973138340000001,50,0,0.51169766,5000.0,8,0,1,1,1.0
102077,1,0.952686224,48,0,0.189889618,6250.0,5,0,0,0,0.0
10208,1,0.99260074,39,8,0.9611714379999999,9116.0,15,0,3,1,1.0
102080,1,0.235950701,32,0,0.292376682,2229.0,9,0,0,0,0.0
1021,0,0.38395220799999996,35,0,0.49856676200000005,15000.0,18,0,2,0,0.0
102108,1,0.674418605,55,0,664.0,4800.0,2,0,0,0,0.0
102118,1,0.339294728,55,3,0.042756075,3250.0,6,0,0,2,1.0
102151,1,0.970890914,47,1,0.050854747,9300.0,3,0,0,0,2.0
102179,1,0.9999998999999999,34,0,0.0,6250.0,0,0,0,0,1.0
10218,1,0.160846073,42,3,1296.0,14000.0,10,0,1,0,0.0
1022,0,0.039609476,50,0,1132.0,11350.0,13,0,0,0,0.0
102218,1,0.9999998999999999,40,1,0.0074060359999999995,5400.0,3,0,0,0,0.0
10223,1,0.888712953,59,5,3252.0,14062.0,12,1,2,0,0.0
102250,1,0.9107387709999999,51,3,0.44759206799999995,6000.0,13,0,0,0,0.0
102254,1,0.604042114,58,0,0.278831169,7699.0,10,0,2,0,0.0
102271,1,0.761075677,82,2,155.0,6000.0,4,0,0,0,0.0
102293,1,0.332667333,24,0,0.009988901,900.0,1,0,0,0,0.0
102297,1,0.7308538290000001,43,5,0.44606209399999996,5700.0,13,0,1,0,4.0
102298,1,0.508081986,24,0,0.075770192,1200.0,1,0,0,0,0.0
1023,0,0.02464305,75,0,0.009947892,4221.0,10,0,0,0,1.0
102307,1,0.9999998999999999,53,0,0.0,4353.0,0,2,0,0,1.0
102324,1,0.40386190299999997,41,3,0.42336809,7000.0,11,0,2,2,0.0
102341,1,0.9999998999999999,32,0,0.0,3086.0,0,2,0,0,3.0
102366,1,0.366257545,51,1,0.701504611,6180.0,14,0,2,0,0.0
102367,1,0.9999998999999999,50,0,0.0,3320.0,0,0,0,0,1.0
102388,1,0.417715345,61,1,0.49731607200000005,9500.0,4,1,1,1,0.0
1024,0,0.9999998999999999,32,0,0.17830219600000002,3050.0,1,0,0,1,2.0
102407,1,1.005367252,45,2,0.576864324,7200.0,4,0,1,0,1.0
102468,1,0.916297975,37,0,0.6013997670000001,6000.0,16,0,2,0,1.0
102487,1,0.295633818,33,2,0.266919272,9500.0,5,1,1,0,1.0
102497,1,0.40134907299999995,40,5,5646.0,9166.0,8,1,2,1,2.0
1025,0,0.284499685,66,0,1408.0,5445.0,8,0,0,0,1.0
102505,1,0.9999998999999999,57,0,0.0,2080.0,0,0,0,0,0.0
102525,1,0.061875169,62,1,0.46566949,5548.0,6,1,2,3,1.0
102565,1,0.143523661,37,0,0.19009584699999998,1877.0,2,0,0,1,0.0
102573,1,0.747354387,49,1,2.472204872,1600.0,9,5,2,2,1.0
102586,1,0.976940815,23,0,0.261055635,700.0,4,0,0,0,0.0
1026,0,0.9999998999999999,38,1,0.13407134099999998,6503.0,1,0,0,0,3.0
102609,1,0.9920015999999999,78,0,0.5095172410000001,3624.0,10,1,1,0,1.0
102613,1,0.873417722,45,2,0.33670791200000005,8000.0,9,0,1,0,1.0
10262,1,0.051134134000000005,48,0,0.4029036,8609.0,13,0,1,0,4.0
10263,1,0.754983923,39,1,0.388264476,12900.0,13,0,2,0,2.0
102651,1,0.8881199540000001,43,0,0.157022548,3680.0,5,0,0,0,2.0
102658,1,0.7771588970000001,49,1,0.530063505,7400.0,12,0,2,1,2.0
102661,1,0.534189174,46,2,0.293285693,6716.0,11,1,2,0,1.0
10268,1,0.883861846,47,3,2078.0,4000.0,3,0,1,1,0.0
102683,1,1.051749485,29,4,0.91145387,3500.0,11,2,1,0,1.0
102684,1,0.281952753,61,0,0.641530991,3500.0,11,1,1,0,0.0
102686,1,0.055887327,86,0,0.406467096,7916.0,17,0,3,0,1.0
102688,1,0.9999998999999999,44,0,0.44079076100000003,5108.0,3,4,1,3,2.0
1027,0,0.22450706899999998,58,0,1068.0,10667.0,8,0,1,0,0.0
10271,1,0.023426672000000003,59,0,0.315300839,5600.0,19,0,1,0,1.0
102735,1,0.12194251,29,2,0.488001846,4333.0,6,0,2,0,0.0
102774,1,0.718658668,46,0,5932.0,2499.0,6,0,2,0,2.0
102779,1,0.9999998999999999,27,0,0.029799427000000003,1744.0,1,0,0,0,1.0
102792,1,1.025890638,30,1,0.234804631,2763.0,9,0,0,2,3.0
102794,1,0.9667774090000001,56,0,8.0,5283.0,1,1,0,0,0.0
1028,0,0.6431339220000001,47,0,0.158997955,7823.0,3,0,0,0,0.0
102811,1,0.0,46,2,0.296673717,5200.0,4,2,1,1,2.0
102839,1,0.5020958329999999,68,0,0.387224829,2770.0,10,0,1,0,0.0
10284,1,0.9999998999999999,52,3,0.154616843,7385.0,3,3,0,0,1.0
102878,1,0.527258499,50,1,0.43940502299999995,4100.0,7,0,1,0,0.0
102882,1,0.9927817879999999,29,1,108.0,10111.0,3,2,0,1,0.0
102890,1,0.01687466,56,0,0.009996002,2500.0,15,0,0,0,0.0
102893,1,0.99036085,30,3,0.040612309,3200.0,2,2,0,0,2.0
102896,1,0.015127845,59,0,0.072985403,5000.0,15,0,0,0,0.0
1029,0,0.14903788699999998,44,0,0.288725647,3130.0,8,0,1,0,1.0
102905,1,0.838782305,65,0,0.506519478,12500.0,17,1,3,0,1.0
102913,1,0.37019681299999996,22,0,318.0,7916.0,5,0,0,0,0.0
102941,1,1.034577513,34,0,0.40299942299999997,5200.0,7,0,2,1,3.0
102960,1,1.006966434,70,2,0.6570260920000001,9542.0,9,0,2,0,1.0
102978,1,0.860953777,67,2,0.435065826,14583.0,15,0,2,0,1.0
103,0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0
1030,1,0.546513871,35,0,0.93824256,8500.0,17,0,4,0,2.0
10300,1,0.754439125,40,2,0.191532573,6400.0,10,4,0,1,1.0
103017,1,0.904789851,50,2,1.422040674,5752.0,13,1,2,6,0.0
103048,1,0.7784431140000001,21,0,0.010989011000000002,1000.0,1,0,0,0,0.0
10307,1,0.9999998999999999,65,0,0.0,4000.0,0,0,0,0,0.0
1031,0,0.546015655,39,0,0.407318536,5000.0,8,0,1,0,0.0
103113,1,0.242218997,56,1,1.401459854,684.0,6,0,1,0,0.0
10312,1,0.41845854299999996,42,0,2.644355644,1000.0,7,0,1,0,1.0
103144,1,0.191400717,36,0,0.392772835,5506.0,10,0,1,0,0.0
103172,1,0.765201481,43,0,0.5537897310000001,3271.0,8,0,1,0,3.0
103173,1,1.0648955979999999,50,2,0.5015965170000001,3444.0,7,0,1,2,3.0
103186,1,0.9545107620000001,45,1,184.0,5097.0,9,0,0,0,0.0
103187,1,0.9999998999999999,55,2,0.012121212,2639.0,0,1,0,0,1.0
1032,0,0.14938018,54,1,0.428758481,8400.0,14,0,1,0,1.0
103205,1,0.9999998999999999,42,1,0.250863295,4922.0,4,0,1,0,4.0
103237,1,0.993820429,34,0,0.693608152,4317.0,7,0,2,0,2.0
103239,1,0.9999998999999999,37,0,0.0,4151.0,0,0,0,0,2.0
103266,1,0.9999998999999999,40,1,569.0,8000.0,2,1,0,0,0.0
10327,1,1.020549641,33,1,0.9400193490000001,3100.0,15,3,1,1,2.0
103287,1,0.12270729699999999,32,0,0.390742872,7820.0,16,0,2,0,1.0
103288,1,0.083137136,45,1,109.0,6000.0,7,0,0,0,0.0
103293,1,0.031819682,88,1,0.011159107,8333.0,10,0,0,0,0.0
103294,1,0.934379458,55,1,0.366605566,6000.0,4,2,1,0,3.0
1033,0,0.135083219,58,0,0.06513930700000001,10300.0,7,0,0,0,2.0
103308,1,0.7113369979999999,61,0,203.0,2800.0,9,0,0,0,0.0
103333,1,0.7524158609999999,39,3,0.76519337,2533.0,3,0,2,0,2.0
103334,1,0.610310179,62,0,0.237689745,2700.0,7,17,0,0,0.0
103350,1,1.009135948,67,0,0.9795646379999999,2250.0,6,0,0,0,0.0
103352,1,0.63545461,47,0,0.455454455,10000.0,10,0,2,1,1.0
103354,1,0.9999998999999999,33,0,2330.0,4584.0,8,0,2,0,4.0
103356,1,0.882154469,66,1,0.302232589,3000.0,6,0,0,3,0.0
10336,1,0.002363422,62,0,0.43473491799999997,2734.0,8,0,1,0,0.0
103375,1,0.053130070999999994,78,0,0.066343042,617.0,3,0,0,0,0.0
10338,1,0.199426883,44,1,0.681542306,2800.0,15,1,2,0,1.0
103384,1,1.119512427,58,3,0.420255561,8451.0,10,1,1,3,0.0
103399,1,0.9610129959999999,52,3,0.786340563,4333.0,6,4,2,0,2.0
1034,0,0.016221173999999998,65,0,0.19492502899999997,2600.0,9,0,2,0,3.0
103405,1,1.05345502,59,3,171.0,11500.0,6,0,0,0,0.0
103435,1,0.95640327,41,3,1.129100158,5700.0,8,0,2,1,2.0
103445,1,0.6345676020000001,35,1,0.532521628,6241.0,18,0,2,0,0.0
103448,1,0.378720266,66,0,0.884552021,7890.0,19,0,3,0,0.0
103456,1,0.664670659,35,3,0.23707512100000003,3500.0,7,1,0,1,0.0
103467,1,0.0,73,0,0.702978546,4800.0,11,0,1,0,0.0
103469,1,1.261337433,34,3,0.179850125,1200.0,4,1,0,0,0.0
103485,1,1.114628457,56,2,1.334486736,2600.0,6,1,1,1,0.0
1035,0,0.068038735,55,0,2.496503497,1000.0,6,0,1,0,2.0
103518,1,0.482473731,52,2,0.34347275,7100.0,8,2,1,2,1.0
10352,1,0.9999998999999999,58,1,0.145141943,2500.0,1,1,0,0,0.0
103546,1,0.9930255729999999,25,0,0.221044663,1320.0,5,0,0,0,0.0
103598,1,0.325761018,54,2,1.680266445,1200.0,8,0,1,0,0.0
1036,0,0.038660566,71,0,0.30808648899999996,8000.0,7,0,1,0,0.0
10362,1,0.523555641,44,0,0.23758416100000002,15000.0,6,0,1,0,2.0
103621,1,0.8893307579999999,39,3,2356.0,0.0,10,3,1,0,2.0
103629,1,0.005293806,58,2,0.077099821,3916.0,11,0,0,0,0.0
103651,1,0.992827646,36,2,0.22725758100000001,3000.0,3,3,0,0,0.0
103664,1,0.17135443399999997,40,0,0.227179737,10264.0,15,0,2,0,2.0
103681,1,1.046869141,71,0,751.0,2000.0,3,0,0,0,0.0
103687,1,0.872023268,40,0,0.363325441,3800.0,4,2,0,2,3.0
103690,1,0.828165987,49,4,0.303457447,7519.0,14,0,1,0,2.0
103694,1,1.034709327,35,0,0.439397398,4380.0,10,0,1,0,2.0
103696,1,1.240644412,38,1,0.63727798,4672.0,15,0,2,0,2.0
1037,0,0.258812185,35,0,3947.0,8320.0,4,0,1,0,0.0
103726,1,0.6745848990000001,48,2,0.500514227,8750.0,9,0,2,0,2.0
103755,1,0.9999998999999999,36,0,0.0,3000.0,0,0,0,0,0.0
103762,1,0.9158502609999999,58,0,1.202870348,4110.0,8,0,2,0,3.0
1038,0,0.033458036000000003,80,0,0.431051723,11000.0,6,0,2,0,0.0
10380,1,1.39800995,32,1,240.0,5405.0,3,1,0,0,0.0
103808,1,0.9303897179999999,61,4,0.186172745,10500.0,13,0,0,0,2.0
103826,1,0.801996645,40,1,0.92348285,5305.0,13,0,2,0,2.0
103849,1,0.72828491,41,0,0.9311493609999999,1800.0,8,0,0,0,2.0
103851,1,0.713540007,49,0,1.633517495,3800.0,20,0,2,0,3.0
1039,0,0.9999998999999999,27,0,0.153061224,2253.0,3,0,0,0,0.0
103900,1,0.697537808,33,2,0.068010076,3969.0,4,1,0,0,2.0
103903,1,0.47451313700000003,39,0,0.288894814,7500.0,7,0,1,0,3.0
103928,1,0.9999998999999999,26,0,0.12411495199999999,2400.0,1,0,0,0,0.0
103931,1,0.173423014,29,0,1.159905938,1700.0,16,0,0,0,0.0
103940,1,0.9999998999999999,37,0,0.0,1200.0,0,0,0,0,1.0
103972,1,1.18762475,25,0,0.131596091,1534.0,2,0,0,0,1.0
103978,1,0.9999998999999999,36,0,0.0,8400.0,0,2,0,0,0.0
103980,1,0.567883426,54,0,1.078273592,4100.0,13,4,2,0,0.0
103987,1,0.614414825,46,0,0.783243351,5000.0,8,0,1,0,3.0
103995,1,1.0021734409999998,25,2,0.09673790800000001,8000.0,4,0,0,0,0.0
104,0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0
1040,0,0.391214634,39,1,0.287181335,11100.0,8,0,2,0,2.0
104001,1,0.9415152059999999,65,1,5251.0,5100.0,11,5,2,4,0.0
104004,1,0.617409205,69,1,0.218882942,7286.0,9,0,0,0,1.0
104005,1,0.99980004,34,0,0.397787705,4700.0,5,5,1,1,0.0
104020,1,0.908955355,49,0,0.44296312200000004,9300.0,8,0,2,0,0.0
104021,1,0.45560322200000003,76,1,0.27928928399999997,1800.0,6,0,0,0,0.0
104069,1,0.7354737579999999,58,2,0.824497768,3583.0,13,0,3,0,1.0
104090,1,0.44818976299999996,22,0,10.0,9167.0,1,0,0,0,0.0
104095,1,1.014780038,58,2,0.267247536,7000.0,9,0,0,0,2.0
104099,1,0.975304278,44,0,2597.0,9083.0,10,1,0,0,0.0
1041,0,0.37791527799999997,51,0,0.061148228,8830.0,5,0,0,0,1.0
104112,1,0.006884754,76,0,428.0,7369.0,16,0,0,0,3.0
104133,1,0.9999998999999999,35,3,3982.0,5830.0,5,0,1,3,2.0
104141,1,0.74093065,64,0,0.34990694,3760.0,9,0,1,0,3.0
10415,1,0.9999998999999999,41,0,0.5072632189999999,1720.0,2,1,0,2,2.0
104151,1,0.9999998999999999,52,1,0.581565158,11640.0,3,4,2,1,0.0
104177,1,0.777508091,45,2,1700.0,2125.0,5,4,1,1,0.0
104182,1,0.649350649,26,2,0.149845747,2268.0,3,1,0,1,0.0
1042,0,0.09840773300000001,47,0,0.069744476,8100.0,6,0,0,0,2.0
104209,1,0.9999998999999999,47,0,0.303049422,4754.0,2,1,1,0,3.0
104220,1,0.44167386700000005,65,0,0.238800156,5133.0,9,2,0,0,0.0
104266,1,0.53002611,36,0,0.331524068,7000.0,7,0,1,0,1.0
1043,0,0.039686202000000004,46,0,7.0,5500.0,6,0,0,0,1.0
104303,1,0.9999998999999999,52,3,1773.0,2650.0,1,0,1,0,0.0
104310,1,0.772933697,34,0,0.21690904600000002,4056.0,4,2,0,3,3.0
104358,1,0.259718167,41,0,0.425661914,5400.0,11,0,1,0,1.0
104364,1,0.793517101,52,3,0.7533950620000001,3239.0,8,3,2,0,3.0
104367,1,0.634877908,61,2,0.387866394,4400.0,6,0,1,0,0.0
104369,1,0.913362213,47,0,0.01975128,4100.0,2,1,0,0,0.0
10437,1,0.462417982,43,0,1.416861046,3000.0,12,0,1,0,0.0
1044,0,0.9999998999999999,51,1,35.0,4166.0,0,1,0,0,0.0
104409,1,0.0,51,2,0.9851668729999999,2426.0,9,2,1,1,0.0
104414,1,1.14915428,29,0,0.19540229899999997,2000.0,10,1,0,0,0.0
104415,1,0.939217405,43,4,0.819740037,7000.0,18,0,3,0,3.0
104420,1,1.375812094,55,1,1393.0,14600.0,7,0,1,1,0.0
104429,1,0.9853339259999999,56,1,0.083991601,10000.0,11,0,0,1,0.0
10445,1,0.06323754599999999,38,0,0.491358377,7000.0,6,0,1,1,1.0
